"perceptual decision making" -- "attention"
"biomechanics" -- "rehabilitation science"
"biomechanics" -- "spine"
"biomechanics" -- "knee osteoarthritis"
"biomechanics" -- "vascular mechanics"
"biomechanics" -- "tendon"
"biomechanics" -- "low back pain"
"biomechanics" -- "foot"
"biomechanics" -- "sports injury"
"biomechanics" -- "biological materials"
"biomechanics" -- "scaling"
"biomechanics" -- "collagen"
"biomechanics" -- "electromyography"
"biomechanics" -- "soft tissue"
"biomechanics" -- "orthopaedics"
"biomechanics" -- "motion capture"
"biomechanics" -- "neuromotor control"
"biomechanics" -- "bone"
"biomechanics" -- "functional morphology"
"biomechanics" -- "musculoskeletal injury"
"biomechanics" -- "sports biomechanics"
"biomechanics" -- "bone adaptation"
"biomechanics" -- "rehabilitation"
"biomechanics" -- "total knee replacement"
"biomechanics" -- "acl"
"biomechanics" -- "finite element analysis"
"potential fields" -- "geophysics"
"soil c" -- "soil biogeochemistry"
"comparative psychology" -- "developmental psychology"
"comparative psychology" -- "evolution of cognition"
"self-esteem" -- "personality psychology"
"critical security studies" -- "international political sociology"
"critical security studies" -- "international relations"
"rna-seq data analysis" -- "bioinformatics"
"strain localization" -- "geochronology"
"correctional policy" -- "criminology"
"middle class" -- "mobile"
"mechanical enginnering" -- "acoustics"
"circuit qed" -- "quantum optics"
"yeast molecular biology" -- "genetics"
"fluorescence lifetime imaging microscopy" -- "multiphoton microscopy"
"applied algebraic geometry" -- "algebraic statistics"
"self-adaptive software" -- "distributed systems"
"reliable computing" -- "electronic design automation"
"vehicle bridge interaction" -- "structural health monitoring"
"requirements elicitation" -- "prioritization"
"public service interpreting" -- "interpreter training"
"neuroethology" -- "chemical communication"
"neuroethology" -- "neurobiology"
"neuroethology" -- "sensory biology"
"neuroethology" -- "auditory physiology"
"neuroethology" -- "fish bioacoustics"
"resource use" -- "ethnoarchaeology"
"low-rank matrix recovery" -- "compressed sensing"
"photovoltaic devices" -- "metals"
"motivation engagement" -- "educational technology"
"ventricular assist devices" -- "arterial hypertension"
"ventricular assist devices" -- "cardiovascular outcomes research"
"ventricular assist devices" -- "heart transplantation"
"ventricular assist devices" -- "congenital heart surgery"
"genetik" -- "endokrinologi"
"genetik" -- "kanser"
"project-based learning" -- "learning sciences"
"mechanical vibrations" -- "acoustics"
"dosage compensation" -- "computational biology"
"software security" -- "secure software engineering"
"software security" -- "software engineering"
"audiovisual translation" -- "reception studies"
"audiovisual translation" -- "translation"
"audiovisual translation" -- "subtitling"
"audiovisual translation" -- "translation history"
"audiovisual translation" -- "humor studies"
"audiovisual translation" -- "catalan literature"
"audiovisual translation" -- "cognitive load"
"agile methodologies" -- "software engineering"
"crop genomics" -- "plant biology"
"continuum mechanics" -- "nonlinear elasticity"
"desiccation tolerance" -- "abiotic stress"
"electrónica" -- "ingeniería eléctrica"
"electrónica" -- "mems"
"sport-related concussion" -- "orthopaedic surgery"
"formación docente" -- "educación"
"biomolecular spectroscopy" -- "cars microscopy"
"ins" -- "stochastic signal processing"
"ins" -- "gnss"
"cardiac pacing" -- "medical devices"
"islamic political thought" -- "islamic law"
"default mode network" -- "graph theory"
"life sciences" -- "molecular cardiology"
"life sciences" -- "dip-pen nanolithography"
"life sciences" -- "biotechnology"
"transatlantic relations" -- "us foreign policy"
"amygdala" -- "memory"
"protozoology" -- "parasitology"
"social change" -- "development anthropology"
"social change" -- "communication"
"ultrafast laser spectroscopy" -- "energy transfer"
"cognitive neuropsychiatry" -- "face recognition"
"mass cytometry" -- "immunology"
"mass cytometry" -- "cytof"
"energy technology" -- "heat transfer"
"energy technology" -- "co2 utilisation"
"energy technology" -- "high temperature corrosion"
"water supply systems" -- "reuse"
"damage tolerance" -- "fatigue"
"genome assembly" -- "bioinformatics"
"genome assembly" -- "genome annotation"
"tropospheric ozone" -- "atmospheric chemistry"
"semantic publishing" -- "document engineering"
"semantic publishing" -- "semantic web"
"machine learning applications" -- "computer vision"
"historia empresarial" -- "historia económica"
"historia empresarial" -- "business history"
"indo-european linguistics" -- "historical linguistics"
"information infrastructure" -- "technology studies"
"pisa" -- "development"
"pisa" -- "mediterranean studies"
"pisa" -- "timss"
"live cell microscopy" -- "image analysis"
"endocrine surgery" -- "endocrine oncology"
"endocrine surgery" -- "thyroid"
"content-based retrieval" -- "analysis"
"international investment agreements" -- "international political economy"
"automation systems" -- "communication networks"
"empirical industrial organization" -- "consumer search"
"empirical industrial organization" -- "empirical microeconomics"
"empirical industrial organization" -- "quantitative marketing"
"empirical industrial organization" -- "economics"
"orthopedic surgery" -- "orthopedic oncology"
"orthopedic surgery" -- "shoulder surgery"
"orthopedic surgery" -- "limb salvage surgery"
"orthopedic surgery" -- "trauma"
"reasoning" -- "delusions"
"reasoning" -- "spatial representation"
"reasoning" -- "knowledge representation"
"reasoning" -- "thinking"
"reasoning" -- "causal learning"
"series" -- "cine"
"soil respiration" -- "carbon cycle"
"law" -- "scientific evidence"
"law" -- "reproductive rights"
"law" -- "feminist legal theory"
"law" -- "legal theory"
"law" -- "legal research"
"law" -- "business law"
"law" -- "torts"
"law" -- "regulatory theory"
"law" -- "property"
"law" -- "private law"
"law" -- "contracts"
"law" -- "children s rights"
"law" -- "labour law"
"law" -- "european contract law"
"law" -- "judicial behavior"
"law" -- "criminal law"
"law" -- "risk regulation"
"law" -- "juries"
"law" -- "procedural law"
"law" -- "intellectual property law"
"law" -- "tax policy"
"law" -- "legal history"
"law" -- "legal anthropology"
"law" -- "tax law"
"law" -- "jurisprudence"
"law" -- "legal education"
"law" -- "legal geography"
"law" -- "economics"
"law" -- "legal profession"
"distributed event-based systems" -- "data stream processing"
"large-scale networks" -- "model predictive control"
"personalized search" -- "recommendation"
"offshore platforms" -- "artificial reefs"
"paleography" -- "historical pragmatics"
"nanosims" -- "materials science"
"space geodesy" -- "geophysics"
"psychiatric nursing" -- "mental health"
"psychiatric nursing" -- "community based interventions"
"lung biology" -- "immunology"
"investigación educativa" -- "tic"
"biology" -- "wildlife research"
"biology" -- "cancer biochemistry"
"biology" -- "ecology"
"biology" -- "transgenic research"
"biology" -- "ekologi"
"biology" -- "prey dynamics"
"biology" -- "marine toxins"
"biology" -- "fisheries acoustics"
"biology" -- "genoeconomics"
"respiratory tract infections" -- "tb"
"scale development" -- "parenting"
"environmental carcinogenesis" -- "stem cell biology"
"singularity theory" -- "algebraic geometry"
"autonomy support" -- "motivation"
"transatlantic studies" -- "poetry"
"radical innovation" -- "technology commercialization"
"radical innovation" -- "open innovation"
"radical innovation" -- "learning processes"
"open" -- "distance learning"
"transcranial direct current stimulation" -- "hearing aids"
"philosophy of education" -- "moral education"
"philosophy of education" -- "philosophy"
"bacterial cellulose" -- "cellulose"
"beliefs" -- "mathematics education"
"psychology of religion" -- "spirit possession"
"psychology of religion" -- "social psychology"
"cancer proteomics" -- "cancer genomics"
"wildlife management" -- "conservation biology"
"tio2" -- "fotocatalisi"
"tio2" -- "pld"
"tio2" -- "photocatalysis"
"tio2" -- "titania"
"return predictability" -- "credit ratings"
"integrated sensors" -- "vision"
"distretti industriali" -- "sviluppo locale"
"earthquake seismology" -- "geophysics"
"animal behaviour" -- "behavioural ecology"
"animal behaviour" -- "animal cognition"
"animal behaviour" -- "comparative medicine"
"animal behaviour" -- "zoo biology"
"animal behaviour" -- "social structure"
"animal behaviour" -- "bioacoustics"
"animal behaviour" -- "collective behaviour"
"animal behaviour" -- "animal welfare"
"animal behaviour" -- "comparative cognition"
"animal behaviour" -- "dog behaviour"
"animal behaviour" -- "social learning"
"poultry physiology" -- "productivity"
"hazard mitigation" -- "climate change"
"brain evolution" -- "evolutionary biology"
"business informatics" -- "information systems"
"content delivery networks" -- "forecasting"
"online self-presentation" -- "social media"
"electrothermal modeling" -- "finfet"
"persuasive computing" -- "pervasive computing"
"korean" -- "phonetics"
"evolving systems" -- "evolutionary computation"
"particle tracking" -- "cfd"
"química organometálica" -- "catálisis"
"research impact" -- "open access"
"topography" -- "photogrammetry"
"dinsar" -- "insar"
"atomic theory" -- "atomic physics"
"scientific software engineering" -- "multiscale modeling"
"workplace wellbeing" -- "environment"
"teaching" -- "collocation"
"teaching" -- "danio rerio"
"teaching" -- "visual thinking"
"teaching" -- "learning"
"teaching" -- "social issues"
"teaching" -- "learning in higher education"
"teaching" -- "imta"
"ideation" -- "design creativity"
"armenia" -- "communication technology"
"quantum nonlocality" -- "quantum information"
"raman lasers" -- "lasers"
"plant water use" -- "ecohydrology"
"farmacognosia" -- "controle de qualidade"
"farmacognosia" -- "plantas medicinais"
"history matching" -- "uncertainty quantification"
"construction law" -- "sustainable engineering"
"seismic imaging" -- "geophysics"
"seismic imaging" -- "seismic signal processing"
"quaternary" -- "geomorphology"
"sistemas de informação" -- "tecnologia da informação"
"mobile agents" -- "mobile computing"
"asset pricing theory" -- "market microstructure"
"chronic liver disease" -- "comparative effectiveness research"
"oberflächenphysik" -- "scanning tunneling microscopy"
"disaster preparedness" -- "medical imaging"
"relações de gênero" -- "direitos humanos"
"decay" -- "biomaterials"
"decay" -- "timber"
"wave hydrodynamics" -- "coastal engineering"
"interventional cardiology" -- "cardiology"
"interventional cardiology" -- "clinical cardiology"
"interventional cardiology" -- "valvular heart disease"
