"perceptual decision making" -- "attention"
"machine learning" -- "bio-inspired computing"
"machine learning" -- "causality"
"machine learning" -- "myoelectric control"
"machine learning" -- "multivariate analysis"
"machine learning" -- "neuroscience"
"machine learning" -- "approximate inference"
"machine learning" -- "intelligent data analysis"
"machine learning" -- "recurrent neural networks"
"machine learning" -- "pattern recognition"
"machine learning" -- "statistical bioinformatics"
"machine learning" -- "assisted living"
"machine learning" -- "speech signal processing"
"machine learning" -- "music information retrieval"
"machine learning" -- "artifical intelligence"
"machine learning" -- "human behavior modeling"
"machine learning" -- "convex optimization"
"machine learning" -- "mechanics of composite materials"
"machine learning" -- "data visualization"
"machine learning" -- "biomedical signal processing"
"machine learning" -- "domain adaptation"
"machine learning" -- "text classification"
"machine learning" -- "healthcare informatics"
"machine learning" -- "gaussian processes"
"machine learning" -- "motor neuroscience"
"machine learning" -- "biomedicine"
"machine learning" -- "variational inference"
"machine learning" -- "statistical modeling"
"machine learning" -- "bayesian analysis"
"machine learning" -- "geolocation"
"machine learning" -- "spoken language understanding"
"machine learning" -- "statistical theory"
"machine learning" -- "smart health"
"machine learning" -- "gene expression analysis"
"machine learning" -- "smart home"
"machine learning" -- "pervasive healthcare"
"machine learning" -- "computer vision"
"machine learning" -- "computer audition"
"machine learning" -- "text analytics"
"machine learning" -- "neural networks"
"machine learning" -- "high-dimensional statistics"
"machine learning" -- "dialog systems"
"machine learning" -- "its applications"
"machine learning" -- "transfer learning"
"machine learning" -- "medical image segmentation"
"regeneration biology" -- "medical imaging"
"linguistik" -- "morphologie"
"v v" -- "verification"
"pressure ulcers" -- "wounds"
"air-sea interaction" -- "physical oceanography"
"parasites" -- "ecology"
"dna mismatch repair" -- "orai"
"language use" -- "cognitive science"
"language use" -- "ambulatory assessment"
"nssi" -- "suicide"
"kinase inhibitors" -- "medicinal chemistry"
"vestibular system" -- "neuroscience"
"plantas medicinais" -- "farmacologia"
"plantas medicinais" -- "farmacognosia"
"brachytherapy" -- "medical physics"
"personal finance" -- "consumer economics"
"meat" -- "ruminant nutrition"
"préhistoire" -- "archéologie"
"préhistoire" -- "paléontologie"
"flash memory" -- "high-k dielectrics"
"flash memory" -- "storage systems"
"flash memory" -- "oxide tft"
"corrosion science" -- "bio-based materials"
"corrosion science" -- "electrochemistry"
"corrosion science" -- "corrosion protection"
"geoenvironmental engineering" -- "geotechnical engineering"
"phraseology" -- "corpus linguistics"
"shape analysis" -- "computer vision"
"shape analysis" -- "statistics on manifolds"
"shape analysis" -- "computational anatomy"
"evolution" -- "adaptive dynamics"
"evolution" -- "nomenclature"
"evolution" -- "coevolution"
"evolution" -- "cooperation"
"evolution" -- "plant systematics"
"evolution" -- "parasitic plants"
"evolution" -- "theoretical biology"
"evolution" -- "population genetics"
"evolution" -- "fungi"
"evolution" -- "viral dynamics"
"evolution" -- "ecology of infectious diseases"
"evolution" -- "genomics"
"evolution" -- "domestication"
"evolution" -- "flowering time"
"evolution" -- "vertebrates"
"evolution" -- "ecologie"
"evolution" -- "colour"
"evolution" -- "organismal biology"
"evolution" -- "sexual dimorphism"
"evolution" -- "ecology"
"evolution" -- "paleobotany"
"evolution" -- "palaeontology"
"evolution" -- "development"
"evolution" -- "orchidaceae"
"evolution" -- "allometry"
"evolution" -- "kin selection"
"evolution" -- "deep-sea biology"
"evolution" -- "developmental evolution"
"evolution" -- "vertebrate morphology"
"evolution" -- "kin recognition"
"evolution" -- "niche construction"
"evolution" -- "insects"
"evolution" -- "animal behavior"
"evolution" -- "tunicates"
"evolution" -- "symbioses"
"evolution" -- "reef fish"
"evolution" -- "gene duplication"
"evolution" -- "microbes"
"evolution" -- "systematics"
"evolution" -- "systematic biology"
"evolution" -- "endosymbiosis"
"evolution" -- "behavior"
"evolution" -- "comparative biology"
"evolution" -- "phylogeny"
"evolution" -- "larval biology"
"evolution" -- "speciation"
"evolution" -- "protists"
"evolution" -- "insect systematics"
"evolution" -- "sexual selection"
"evolution" -- "ecological dynamics"
"evolution" -- "symbiosis"
"evolution" -- "genome structure"
"evolution" -- "multicellularity"
"evolution" -- "evolvability"
"geomatica" -- "fotogrammetria"
"geomatica" -- "cartografia"
"materials selection" -- "characterization"
"ultrafiltration" -- "reverse osmosis"
"lung cancer" -- "developmental therapeutics"
"lung cancer" -- "thoracic oncology"
"lung cancer" -- "medical oncology"
"lung cancer" -- "bronchoscopy"
"lung cancer" -- "colorectal"
"lung cancer" -- "mesothelioma"
"lung cancer" -- "interventional pulmonology"
"lung cancer" -- "antimicrobial agents"
"lung cancer" -- "qpcr"
"lung cancer" -- "radiation oncology"
"lung cancer" -- "lung development"
"lung cancer" -- "head neck cancer"
"lung cancer" -- "lung fibrosis"
"lung cancer" -- "esophageal cancer"
"many-body physics" -- "quantum optics"
"bariatric surgery" -- "obesity"
"bariatric surgery" -- "gut hormones"
"bariatric surgery" -- "minimally invasive surgery"
"teens" -- "digital media"
"value co-creation" -- "service-dominant logic"
"outdoor recreation" -- "parks"
"urban governance" -- "urban planning"
"urban governance" -- "port cities"
"ciência e engenharia de materiais" -- "thin films"
"resilient systems" -- "disaster medicine"
"insect pathology" -- "biological control"
"terapia fotodinâmica" -- "nanoestruturas"
"terapia fotodinâmica" -- "óptica"
"reservoir computing" -- "brain-inspired computing"
"tekstil" -- "biyoteknoloji"
"special" -- "evolutionary ecology"
"special" -- "riemann-hilbert problems"
"neural prostheses" -- "neural engineering"
"juvenile delinquency" -- "criminology"
"dyslipidemia" -- "obesity"
"contratos" -- "derecho civil"
"anaphylaxis" -- "allergy"
"forest biomass" -- "secondary forests"
"microrheology" -- "soft matter"
"seismic engineering" -- "structural engineering"
"seismic engineering" -- "rc structures"
"watershed ecology" -- "aquatic ecology"
"investigative interviewing" -- "memory"
"magnetochemistry" -- "photochemistry"
"crystallographic texture" -- "deformation twinning"
"crystallographic texture" -- "ebsd"
"engenharia de software" -- "informática na educação"
"engenharia de software" -- "tolerância a falhas"
"engenharia de software" -- "banco de dados"
"engenharia de software" -- "gestão de projetos"
"placemaking" -- "urban design"
"autonomic nervous system" -- "nervous system development"
"rydberg atoms" -- "atomic physics"
"biblical studies" -- "hebrew bible"
"biblical studies" -- "linguistics"
"damage detection" -- "structural health monitoring"
"family policy" -- "child"
"family policy" -- "welfare reform"
"family policy" -- "teacher retention"
"molecular neurobiology" -- "molecular psychiatry"
"ethology" -- "ecology"
"computer arithmetic" -- "computer architecture"
"marketing" -- "interactive marketing"
"marketing" -- "choice modelling"
"marketing" -- "economia e gestione delle imprese"
"marketing" -- "merchandising"
"marketing" -- "corporate social responsiblity"
"marketing" -- "customer satisfaction"
"marketing" -- "social media marketing"
"marketing" -- "customer lifetime value"
"marketing" -- "marketing research"
"marketing" -- "comportamento do consumidor"
"marketing" -- "consumer culture theory"
"marketing" -- "customer value"
"marketing" -- "investigación de mercados"
"marketing" -- "health marketing"
"marketing" -- "comportamiento del consumidor"
"marketing" -- "consumer behavior"
"marketing" -- "b2b marketing"
"marketing" -- "retailing"
"marketing" -- "cross-cultural"
"marketing" -- "consumer culture"
"marketing" -- "sales"
"marketing" -- "crm"
"marketing" -- "management"
"marketing" -- "advertising"
"marketing" -- "hospitality marketing"
"marketing" -- "product placement"
"marketing" -- "product innovation"
"marketing" -- "fashion"
"marketing" -- "international marketing"
"marketing" -- "tourism"
"marketing" -- "consumer behaviour"
"marketing" -- "branding"
"marketing" -- "consumer psychology"
"marketing" -- "consumer"
"marketing" -- "consumer decision making"
"marketing" -- "innovación"
"marketing" -- "brand management"
"marketing" -- "marketing ethics"
"marketing" -- "word of mouth"
"marketing" -- "services"
"marketing" -- "agribusiness"
"marketing" -- "ethical consumption"
"marketing" -- "medical tourism"
"marketing" -- "selling"
"cholesterol metabolism" -- "nutraceuticals"
"fair division" -- "algorithmic game theory"
"aboriginal education" -- "education"
"environmental change" -- "ecological indicators"
"environmental change" -- "geomorphology"
"paleobiogeography" -- "paleontology"
"jewish history" -- "german history"
"computational thinking" -- "computer science education"
"speech therapy" -- "distance learning"
"cognitive systems engineering" -- "human factors"
"strings" -- "music"
"contact lenses" -- "accommodation"
"contact lenses" -- "dry eye"
"contact lenses" -- "tear film"
"news" -- "journalism"
"química inorgânica" -- "catálise"
"química inorgânica" -- "química de materiais"
"radiopharmacy" -- "nuclear medicine"
"quantum topology" -- "quantum gravity"
"shells" -- "fluid-solid interaction"
"shells" -- "plates"
"peirce" -- "sound design"
"peirce" -- "education"
"organizational identity" -- "work-family balance"
"organizational identity" -- "innovation"
"organizational identity" -- "strategic orientation"
"chemosensation" -- "olfaction"
"magnetic fluids" -- "colloidal chemistry"
"numerical algorithms" -- "computational fluid dynamics"
"novel drug delivery" -- "polyamines"
"harm reduction" -- "epidemiology"
"anti-racism" -- "racism"
"ematologia" -- "oncologia"
"medical ethics" -- "bioethics"
"biological wastewater treatment" -- "environmental biotechnology"
"endothelial cells" -- "tissue engineering"
"parasitoids" -- "biological control"
"applied harmonic analysis" -- "image processing"
"sol-gel" -- "materials science"
"history of architecture" -- "construction history"
"history of architecture" -- "architecture"
"full waveform inversion" -- "seismic imaging"
"natural ventilation" -- "cfd"
"macchine a fluido" -- "meccanica"
"community engagement" -- "gis"
"community engagement" -- "participatory action research"
"particle engineering" -- "pharmaceutical engineering"
"e-journals" -- "resource discovery"
"difference" -- "discourse"
"experimental mathematics" -- "electronic voting"
"south africa" -- "aids"
"augmented human" -- "human-computer interaction"
"automatic programming" -- "functional programming"
